age,domain,current_job,degree,cs_bg,experience,avg_time,holidays,week_back,city,graduated,salary,mui,redux,flutter,node,jest,sql,dart,linux,bootstrap,typescipt,vim,mysql,opencv,communication,aws,react,api,ajax,express,jwt,javascript,git,typescript,nginx,tailwindcss,vercel,python,mongodb,firebase,postman,angular,next,html,tailwind,docker,nest,nodejs,cnn,mongoose,hasura,graphql,django,jquery
23,Flutter,React Developer,No Degree,No,Bca dropout ,10.9,Yes,2,WFH,Yes,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19,Go,Golang Developer,Degree,Yes,No,11.2,Yes,0,Manjeri,Yes,6.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
23,MERN Stack,Full Stack Developer,No Degree,Yes,No,11.7,No,7,Chennai,Yes,2.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
24,MERN Stack,MERN Stack developer,Degree,Yes,No,14.3,Yes,2,Ernakulam,Yes,6.7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,Machine Learning,Full Stack Developer,Degree,No,No,8.1,No,6,WFH,Yes,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,MERN Stack,MERN Stack developer,Degree,No,No,9.7,No,7,Kochi,Yes,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19,Web Development with Django,Flutter development,Degree,No,No,11.2,No,2,Bangalore,Yes,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
19,Flutter,Flutter development,Degree,No,Bca dropout ,7.0,Yes,7,Hyderabad,Yes,6.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
28,Machine Learning,Angular Developer,Degree,Yes,No,7.0,Yes,7,Hyderabad,Yes,3.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Go,Full stack engineer,No Degree,Yes,No,14.3,No,7,Manjeri,Yes,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
23,Flutter,MERN Stack developer,No Degree,Yes,No,11.5,Yes,6,WFH,Yes,6.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20,Go,Full stack engineer,Degree,No,No,10.1,Yes,3,Bangalore,Yes,7.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Go,Full stack engineer,Degree,Yes,No,9.7,Yes,6,Manjeri,Yes,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
23,MERN Stack,Software Developer,Degree,No,No,10.7,Yes,4,Bangalore,No,6.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
24,Web Development with Django,Python developer,Degree,No,No,10.5,Yes,3,WFH,Yes,6.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23,Flutter,Full stack engineer,Diploma,No,No,7.0,Yes,7,Others,Yes,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
20,Go,Machine Learning Engineer,Degree,No,Yes [ Non IT industry ],16.0,Yes,3,Nagercoil,Yes,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19,MERN Stack,Flutter developer,Degree,No,Yes [ Non IT industry ],16.0,No,7,WFH,Yes,3.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,MERN Stack,Machine Learning Engineer,Degree,No,No,12.5,Yes,6,Kochi,Yes,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
25,MERN Stack,Golang Developer,Degree,No,No,9.3,No,7,Ernakulam,No,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
22,Go,Golang Developer,Degree,Yes,No,7.8,No,5,Chandigarh,Yes,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
25,Web Development with Django,MERN Stack developer,Degree,Yes,Yes [ Non IT industry ],14.3,No,5,Pune,Yes,6.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
23,Web Development with Django,Software Developer,Degree,No,No,7.9,Yes,1,Pune,No,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,Web Development with Django,Software Engineer,Degree,No,No,16.0,No,7,Kochi,Yes,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24,MERN Stack,MERN Stack developer,Diploma,No,Yes [ Non IT industry ],13.0,Yes,7,Kochi,Yes,7.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
21,Flutter,Full Stack Developer,Diploma,No,No,8.5,Yes,1,Pune,Yes,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
24,Go,Golang Developer,Degree,No,Yes [ Non IT industry ],14.1,Yes,1,Bangalore,Yes,4.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
25,MERN Stack,Nest js developer,No Degree,No,No,9.8,Yes,7,Chennai,Yes,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
23,MERN Stack,MERN Stack developer,Diploma,No,No,11.2,Yes,0,Kochi,Yes,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,MERN Stack,Python + Angular Developer,Degree,Yes,Yes [ Non IT industry ],13.0,Yes,6,Manjeri,Yes,4.8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
22,MERN Stack,Full Stack Developer,Degree,No,No,10.6,Yes,7,Manjeri,Yes,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
26,MEAN Stack,React Developer,No Degree,Yes,No,16.0,Yes,7,Chandigarh,Yes,5.8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,MEAN Stack,Machine Learning Engineer,No Degree,No,No,16.0,Yes,4,WFH,Yes,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
23,MERN Stack,Flutter developer,Degree,Yes,Yes [ Non IT industry ],12.9,No,4,Others,Yes,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
24,MERN Stack,Flutter development,Degree,Yes,Yes [ Non IT industry ],13.8,No,1,Trivandrum,Yes,2.4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
25,Flutter,MERN Stack developer,Degree,No,No,14.5,Yes,4,Bangalore,Yes,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,MERN Stack,MERN Stack developer,Degree,No,No,12.9,Yes,7,Chennai,Yes,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,MEAN Stack,Flutter development,No Degree,Yes,No,13.7,Yes,1,Kochi,Yes,6.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
20,Flutter,Jr Nodejs Developer,Degree,No,No,10.9,No,2,Calicut,No,5.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
25,MERN Stack,Full Stack Developer,No Degree,Yes,No,14.7,No,2,Hyderabad,Yes,5.1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
27,MERN Stack,Full stack engineer,No Degree,No,No,9.8,Yes,7,Kochi,No,6.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,MERN Stack,Full stack engineer,No Degree,Yes,No,13.1,No,5,Nagercoil,Yes,4.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Web Development with Django,Angular Developer,No Degree,Yes,Yes [ Non IT industry ],7.0,Yes,5,Bangalore,Yes,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23,Machine Learning,Machine Learning Engineer,Degree,No,Yes [ Non IT industry ],7.0,Yes,7,Ernakulam,Yes,5.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,MEAN Stack,MERN Stack developer,Degree,Yes,No,8.4,No,7,Others,Yes,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,MERN Stack,MERN Stack developer,No Degree,Yes,No,12.6,Yes,7,Others,Yes,3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20,Flutter,Python + Angular Developer,Diploma,No,No,15.3,Yes,4,Ernakulam,No,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,MERN Stack,MERN Stack developer,Degree,No,Yes [ Non IT industry ],16.0,No,7,WFH,Yes,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
24,Web Development with Django,Jr Nodejs Developer,Degree,No,No,12.9,No,2,Kochi,Yes,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23,MERN Stack,Full Stack Developer,Degree,No,No,8.8,Yes,0,Hyderabad,Yes,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19,Web Development with Django,Python developer,Degree,Yes,No,12.0,Yes,7,Hyderabad,Yes,4.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,MERN Stack,Full Stack Developer,No Degree,No,No,16.0,Yes,7,Bangalore,Yes,7.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,MERN Stack,MERN Stack developer,Degree,Yes,No,9.0,No,7,Nagercoil,Yes,7.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
20,MEAN Stack,Software Developer,Degree,Yes,Yes [ Non IT industry ],8.6,No,6,Chandigarh,Yes,3.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,Web Development with Django,Golang Developer,Degree,Yes,No,10.6,No,5,Nagercoil,Yes,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
25,MERN Stack,React Developer,No Degree,Yes,No,14.4,No,7,Trivandrum,Yes,7.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,MERN Stack,Golang Developer,Degree,No,No,16.0,Yes,7,Pune,Yes,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
21,MERN Stack,Angular Developer,No Degree,No,No,7.0,Yes,7,Hyderabad,Yes,5.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
19,MEAN Stack,Full Stack Developer,No Degree,No,No,11.0,No,4,Chennai,Yes,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22,Flutter,Jr Nodejs Developer,Degree,No,No,11.4,Yes,3,Trivandrum,Yes,6.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,MERN Stack,Golang Developer,No Degree,Yes,Bca dropout ,12.7,Yes,2,Hyderabad,Yes,2.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,MEAN Stack,Python developer,Diploma,Yes,No,10.3,Yes,7,Hyderabad,Yes,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
23,Web Development with Django,React Developer,Degree,No,No,8.0,Yes,4,Trivandrum,Yes,2.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19,Web Development with Django,Flutter developer,Degree,Yes,No,10.9,Yes,0,Ernakulam,Yes,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
26,MERN Stack,Flutter Developer,Degree,No,No,10.7,Yes,6,Bangalore,Yes,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
30,MERN Stack,Golang Developer,Diploma,Yes,No,16.0,Yes,6,WFH,Yes,3.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,Machine Learning,Software Engineer,Degree,No,No,7.3,Yes,5,Hyderabad,Yes,6.4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
21,MERN Stack,React Developer,Diploma,No,No,8.9,Yes,4,Bangalore,Yes,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Machine Learning,Flutter developer,Diploma,No,No,12.5,Yes,1,Others,Yes,4.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Web Development with Django,Flutter developer,Degree,No,No,13.3,Yes,1,WFH,Yes,5.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,Web Development with Django,Angular Developer,Degree,Yes,No,15.4,Yes,7,WFH,Yes,6.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,MERN Stack,Flutter Developer,Degree,No,Yes [ Non IT industry ],12.1,Yes,5,Pune,Yes,5.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,MERN Stack,Angular Developer,No Degree,No,No,10.3,No,2,Bangalore,Yes,3.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,Flutter,Flutter development,Degree,No,No,8.2,Yes,7,Kochi,Yes,4.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,MERN Stack,Full Stack Developer,Diploma,No,Bca dropout ,14.1,Yes,5,Manjeri,No,5.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
23,Machine Learning,Full Stack Developer,Degree,No,No,12.3,Yes,6,WFH,No,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
23,Web Development with Django,MERN Stack developer,Degree,Yes,No,7.0,No,3,WFH,Yes,4.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,MERN Stack,Machine Learning Engineer,Degree,No,No,16.0,Yes,7,Chennai,Yes,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
24,MERN Stack,Full stack engineer,Degree,Yes,No,16.0,Yes,4,Bangalore,Yes,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
