domain,batch,placed_company,designation,age,degree,cs_bg,experience,avg_time,holidays,week_back,city,skills,graduated,salary
MERN Stack,BCK05,Deepnetsoft Private Limited.,Junior Full Stack Developer,21.0,Degree,No,No,12.0,No,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.0
Machine Learning,BCK05,Gritstone Technology,Product Engineer -AI/ML,24.0,No Degree,No,No,12.0,No,3.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.4
Web Development Using Python Django,BCK06,Farmers Fresh Zone,Junior Software Engineer,23.0,No Degree,No,No,12.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.0
Web Development Using Python Django,BCK06,Phantom FX,Jr Full Stack Python Developer,21.0,No Degree,No,No,10.0,No,5.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.24
MERN Stack,BCK06,Hoorryy Pvt Ltd,MERN Stack Developer,21.0,No Degree,No,No,9.0,No,5.0,Chennai,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.6
MERN Stack,BCK07,ECESIS Technologies,MERN Stack Developer,22.0,Degree,Yes,No,9.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.7
MERN Stack,BCK07,Tacnik Technologies Pvt. Ltd.,Product Engineer ,24.0,No Degree,No,No,12.0,No,7.0,Kochi,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.6
MERN Stack,BCK07,Cybaze Technologies Pvt Ltd,Node Js Developer,21.0,No Degree,No,No,10.0,No,7.0,Hyderabad,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,2.4
Web Development Using Python Django,BCK07,Loop Reality(Perspect ai),Python Developer Intern,23.0,No Degree,No,No,12.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.4
Web Development Using Node.js Express,BCK07,Cybaze Technologies Pvt Ltd,Node js Developer ,24.0,No Degree,No,Yes [ Non IT industry ],14.0,Yes,0.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,2.4
Web Development Using Python Django,BCK07,Computing Freedom Collective,Python Django Developer,23.0,Degree,No,No,14.0,Yes,4.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.64
Web Development Using Python Django,BCK08,Sequoia Applied Technologies.,Software Engineer,22.0,No Degree,Yes,No,12.0,Yes,7.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.25
Web Development Using Python Django,BCK08,SalesApp,Back-end Developer,22.0,No Degree,No,No,13.0,Yes,1.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.5
Mobile Development Using Flutter,BCK08,Zydex Innovations,Mobile App Developer,22.0,No Degree,Yes,No,9.0,Yes,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.0
Web Development Using Python Django,BCK08,Tegain Technologies,Software Developer,23.0,No Degree,No,No,10.0,Yes,7.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,2.4
MERN Stack,BCK08,Stargram,Jr Software Engineer,22.0,Degree,Yes,No,12.0,Yes,4.0,Hyderabad,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.52
Web Development Using Python Django,BCK08,Tessact Pvt. Ltd.,Software Developer,22.0,Degree,Yes,No,9.0,No,4.0,WFH,"Dart,Api integration,",Yes,6.5
Web Development Using Python Django,BCK08,Techjays,Software Developer,24.0,No Degree,No,No,11.0,No,0.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
Web Development Using Python Django,BCK08,Creative Panda,Python developer,22.0,No Degree,No,No,9.0,Yes,7.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,2.64
MERN Stack,BCK08,Stargram,Software Developer,26.0,Degree,No,Yes [ Non IT industry ],13.0,Yes,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,2.2
Web Development Using Node.js Express,BCK10,aTeam Soft Solutions,Node.Js developer,24.0,No Degree,No,Yes [ Non IT industry ],12.0,No,0.0,Manjeri Malappuram ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.84
Mobile Development Using Flutter,BCK10,BackB Solutions LLP,Flutter Developer,21.0,No Degree,Yes,No,9.0,Yes,7.0,Calicut ,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,4.5
Web Development Using Python Django,BCK10,Cybaze Technologies Pvt Ltd,Python Developer,22.0,Degree,No,No,10.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.0
Web Development Using Python Django,BCE09,Stargram,Junior software Engineer,22.0,Degree,No,No,10.0,No,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.2
Web Development Using Python Django,BCE09,tekSystems (hp),Developer,22.0,Degree,Yes,No,10.0,Yes,4.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.2
Web Development Using Node.js Express,BCE09,Samaaro ,Poduct Engineer,23.0,Degree,No,No,11.0,Yes,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.2
Web Development Using Node.js Express,BCE09,Natural Minds,Node.js Developer,22.0,No Degree,No,No,10.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
Web Development Using Node.js Express,BCE09, Lanware Solutions,Associate Engineer,22.0,No Degree,No,No,14.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.4
Mobile Development Using Flutter,BCK06, SciWiz Innovations Pvt. Ltd.,Flutter Developer,23.0,Degree,No,No,13.0,Yes,0.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.2
MERN Stack,BCK10,Airvee,Software Developer,23.0,No Degree,Yes,No,8.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
Web Development Using Python Django,BCK10,YouGotaGift Pvt. Ltd.,Technical Team,22.0,Degree,Yes,No,10.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.5
Web Development Using Python Django,BCE09,"Artivatic, Blore",Backend Developer,22.0,No Degree,No,No,10.0,No,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
Web Development Using Python Django,BCE09,Maxzon Softwares,Intern CTO,22.0,No Degree,No,No,10.0,No,7.0,Manjeri Malappuram ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.6
MERN Stack,BCE11,AOT Technologies,Developer,22.0,No Degree,No,No,10.0,No,2.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.5
MERN Stack,BCE14,tekSystems (hp),Developer,22.0,Degree,Yes,No,10.0,Yes,1.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
MERN Stack,BCK10,Pardy Panda Studios Pvt. Ltd.,MERN Stack Developer,22.0,No Degree,No,No,10.0,No,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.6
Web Development Using Node.js Express,BCK10,Approlabs,Jr Software Engineer,22.0,No Degree,No,No,9.0,No,1.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.6
Web Development Using Python Django,BCE09,Accubits,Developer,22.0,Degree,Yes,No,12.0,Yes,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
Web Development Using Node.js Express,BCK10,Pardy Panda Studios Pvt. Ltd.,Jr Software Engineer,22.0,Degree,No,No,12.0,Yes,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.6
Web Development Using Python Django,BCE09,iTday India Pvt. Ltd.,Fullstack Developer,22.0,Degree,No,No,10.0,Yes,1.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,5.5
Mobile Development Using Flutter,BCE14,Carclenx,Flutter Developer,22.0,No Degree,Yes,No,10.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
Mobile Development Using Flutter,BCE16,Edvoy,Junior flutter developer,22.0,Degree,Yes,No,10.0,Yes,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.0
MERN Stack,BCE14,Fine Kube Private Solutions,Developer,22.0,No Degree,No,No,9.0,No,1.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
Mobile Development Using Flutter,BCE14,LLP Software Solutions,Flutter Developer,22.0,Degree,Yes,No,9.0,No,4.0,WFH,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,6.0
MERN Stack,BCE16,Cubet Techno Labs,Node.js developer,22.0,No Degree,No,No,10.0,No,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.7
MERN Stack,BCE12,Rough Paper Technologies,Node js Developer,23.0,No Degree,No,No,11.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.6
Mobile Development Using Flutter,BCK13,Shipnext,Flutter developer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,6.36
Mobile Development Using Swift,BCE14,Hubspire,iOS Developer,22.0,No Degree,Yes,No,8.0,Yes,7.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.8
Mobile Development Using Flutter,BCK13,Digimogo,Flutter Developer,23.0,Degree,No,No,10.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,7.2
Mobile Development Using Flutter,BCK13,Digimogo,Flutter Developer,22.0,No Degree,Yes,No,8.0,Yes,4.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,7.2
MERN Stack,BCE14,AOT Technologies,Software Developer,23.0,Degree,No,No,9.0,Yes,5.0,Calicut ,"Dart,Api integration,",Yes,3.6
Web Development Using Python Django,BCK13,iBoson,Python Developer,22.0,Degree,No,No,12.0,Yes,2.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.5
MERN Stack,BCE14,Carclenx,MERN Stack Developer,23.0,Degree,Yes,No,10.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.36
Mobile Development Using Android Kotlin,BCE12,Vajro India Private Limited,Software Developer,22.0,No Degree,Yes,No,8.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.65
MERN Stack,BCE16,ANJ America Company,MERN Stack Developer,22.0,Degree,Yes,No,10.0,No,2.0,Chennai works from office ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.8
MERN Stack,BCE16,ANJ America Company,MERN Stack Developer,23.0,Degree,Yes,No,9.0,No,1.0,Trivandrum ,"React js ,React query",Yes,4.8
MERN Stack,BCE14,Experion Global Technologies,MERN Stack Developer,22.0,Degree,Yes,No,13.0,Yes,4.0,Calicut ,"React, Node, Html, CSS, Mongodb",Yes,4.0
Web Development Using Python Django,BCE14,Vofox Solutions,Junior software Engineer,23.0,Degree,Yes,No,12.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.96
Web Development Using Python Django,BCE12,Bizviz Technologies,Assosiate Software Engineer,23.0,No Degree,No,No,13.0,Yes,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
Mobile Development Using Android Kotlin,BCE12,DIATOZ,Software developer Engineer,22.0,No Degree,Yes,No,13.0,Yes,7.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.0
Mobile Development Using Swift,BCK15,Pardy Panda Studios Pvt. Ltd.,iOS Developer,21.0,Degree,No,No,16.0,Yes,0.0,WFH,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,3.6
MERN Stack,BCE14,Syngene International,Executive Research Informatics,23.0,Degree,No,No,15.0,Yes,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.0
MERN Stack,BCE14,Septa Milles Pvt. Ltd.,Full Stack Developer,22.0,No Degree,Yes,No,10.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
MERN Stack,BCE16,Fingent Global Solutions Pvt. Ltd.,Web GL Developer,23.0,No Degree,No,Yes [ Non IT industry ],15.0,Yes,0.0,Bangalore,"React, Node, Nest, Next, HTML, CSS, MUI, Socket.io, MongoDB, Javascript, Bootstrap, Tailwind CSS, jQuery, Redux, Express JS, Mongoose, JWT, Git, Postman, Firebase, Vercel, Nginx",Yes,3.6
MERN Stack,BCK15,Electronikmedia, Jr. Software Engineer,21.0,Degree,No,No,12.0,No,2.0,On site,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.8
MERN Stack,BCK15,Intugine Technologies Pvt. Ltd,Jr. Software Engineer,19.0,No Degree,No,No,16.0,Yes,2.0,Nagercoil ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.0
Web Development Using Python Django,BCE14,Socially X,Software Development Engineer I,22.0,Degree,No,No,10.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.1
MERN Stack,BCE16,SHARP,Independent Consultant,22.0,Degree,No,No,10.0,No,4.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.0
MERN Stack,BCK15,Edumetrix Learning Solutions Pvt Ltd. ,Software Engineer,21.0,Degree,Yes,No,14.0,Yes,7.0,Chennai,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,5.3
MERN Stack,BCK15,Handaji Tech Solutions Private Limited,Software Engineer,19.0,No Degree,Yes,No,12.0,Yes,4.0,Chennai works from office ,"React,Python,SQL,Django,Html,Css",Yes,6.0
MERN Stack,BCE14,Septa Milles Pvt. Ltd.,Fullstack Developer,26.0,Degree,No,Yes [ Non IT industry ],14.0,Yes,1.0,Calicut ,"Python, Django, SQL, Git, AWS, Digital Ocean, HTML, CSS, React, Data Structure, Communication ",Yes,4.8
Web Development Using Python Django,BCK13,Freston Analytics,Data Engineer ,21.0,Degree,Yes,No,12.0,No,4.0,Manjeri Malappuram ,"React,Python,SQL,Django,Html,Css",Yes,5.0
Web Development Using Python Django,BCK13,Freston Analytics,Data Engineer ,23.0,No Degree,Yes,No,9.0,No,0.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.0
MERN Stack,BCK15,Mapout Pvt. Ltd.,Frontend Developer,21.0,No Degree,No,No,12.0,No,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,7.5
Mobile Development Using Flutter,BCE16,Staxlabs Inc Pvt Ltd,Flutter Developer,22.0,No Degree,Yes,No,10.0,Yes,7.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.8
MERN Stack,BCE17,NewAgeSys Solutions  ,Software Engineer Trainee,22.0,No Degree,Yes,No,9.0,Yes,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.0
MERN Stack,BCK15,Intugine Technologies Pvt. Ltd,Software Engineer,21.0,Degree,Yes,No,12.0,No,4.0,Chennai works from office ,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,6.0
MERN Stack,BCK15,Freston Analytics,Software Developer,22.0,No Degree,Yes,No,11.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
Web Development Using Python Django + React,BCK15,Tectra Tech Snd Bhd,Full Stack Developer,22.0,No Degree,No,No,13.0,Yes,3.0,Manjeri,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.5
Web Development Using Python Django + React,BCK15,The Data Duck,Python Developer,22.0,Degree,No,No,15.0,Yes,1.0,Manjeri,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,13.0
Web Development Using Python Django,BCK15,Turbolab Technologies ,Junior Back end Developer,21.0,No Degree,No,No,16.0,Yes,0.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.8
MERN Stack,BCK15,Fair Code Technologies,Mern Stack Developer,19.0,No Degree,No,No,16.0,Yes,3.0,Office,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.2
MERN Stack,BCK15,Mapout Pvt. Ltd.,Full Stack Developer,22.0,Degree,Yes,No,14.0,Yes,0.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,7.5
MERN Stack,BCE17,Infosys,Senior Systems Engineer,22.0,Degree,Yes,No,10.0,No,7.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,6.0
Mobile Development Using Flutter,BCK15,Protorix,Flutter Developer,21.0,No Degree,Yes,No,11.0,Yes,5.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.5
MERN Stack,BCK15,Fair Code Technologies,Mern Stack Developer,21.0,Degree,Yes,No,12.0,No,4.0,Manjeri Malappuram ,"React js ,React query",Yes,4.5
Mobile Development Using Flutter,BCK15,Swish Digi Technologies,Junior flutter developer,21.0,Degree,Yes,No,16.0,Yes,1.0,WFH,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,3.6
MERN Stack,BCE17,Paripoorna Software Solutions,Software Engineer Trainee,22.0,Degree,Yes,No,10.0,No,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
Mobile Development Using Flutter,BCK15,Royal Magneto,Trainer-IP,21.0,Degree,No,No,11.0,No,4.0,On site,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.8
Mobile Development Using Flutter,BCK15,Klinik Everywhere Technologies Pvt. Ltd.,Software Engineer,21.0,Degree,Yes,No,15.0,Yes,0.0,WFH,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,4.2
MERN Stack,BCK15,Iotics Middle east LLc,Mern Stack Developer,22.0,No Degree,No,No,15.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
MERN Stack,BCE14,Arclif technologies,Back End Developer,22.0,Degree,Yes,No,10.0,Yes,2.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.2
MERN Stack,BCE17,Nectar IT,Software Engineer,22.0,Degree,Yes,No,11.0,No,4.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.8
Mobile Development Using Flutter,BCE16,Desknine,Associate Software Engineer,23.0,No Degree,No,Yes [ Non IT industry ],14.0,Yes,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
MERN Stack,BCK15,Fingent Global Solutions Pvt. Ltd.,Junior Software Engineer,19.0,No Degree,No,No,12.0,No,3.0,Office,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.8
