age,domain,current_job,degree,cs_bg,experience,avg_time,holidays,week_back,city,skills,graduated,salary,mui,redux,flutter,node,jest,sql,dart,linux,bootstrap,typescipt,vim,mysql,opencv,communication,aws,react,api,ajax,express,jwt,javascript,git,typescript,nginx,tailwindcss,vercel,python,mongodb,firebase,postman,angular,next,html,tailwind,docker,nest,nodejs,cnn,mongoose,hasura,graphql,go,django,jquery
23,MERN Stack,MERN Stack developer,Degree,No,No,9.3,No,4,WFH,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
19,MERN Stack,Angular Developer,No Degree,No,No,12.6,No,7,Others,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,6.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,Machine Learning,Python developer,Degree,No,No,10.2,Yes,7,Bangalore,"React, Node, Html, CSS, SCSS, Next",Yes,6.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,MERN Stack,React Developer,Diploma,No,Yes [ Non IT industry ],10.2,No,6,Coimbatore,"Flutter,iOS, react, django ",Yes,6.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
22,MERN Stack,Nest js developer,Degree,No,No,11.0,Yes,7,Kochi,"React, Node, Html, CSS, SCSS, Next",Yes,4.6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
24,MERN Stack,Python developer,Degree,No,No,10.4,Yes,1,WFH,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,5.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,MERN Stack,Full Stack Developer,Degree,Yes,No,16.0,No,7,Calicut,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
21,MERN Stack,Flutter developer,Diploma,Yes,No,14.0,Yes,2,Bangalore,"React,Python,SQL,Django,Html,Css",No,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,MERN Stack,Flutter Developer,Degree,No,No,14.0,Yes,5,WFH,"Dart,Api integration,",Yes,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,Web Development with Django,MERN Stack developer,Degree,Yes,No,15.0,Yes,7,Kochi,"Go, SQL, HTML, CSS",No,3.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
23,Flutter,React Developer,No Degree,No,Bca dropout ,10.9,Yes,2,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
19,Go,Golang Developer,Degree,Yes,No,11.2,Yes,0,Manjeri,HTML CSS React,Yes,6.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
23,MERN Stack,Full Stack Developer,No Degree,Yes,No,11.7,No,7,Chennai,"Dart,Api integration,",Yes,2.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
24,MERN Stack,MERN Stack developer,Degree,Yes,No,14.3,Yes,2,Ernakulam,"Go, SQL, HTML, CSS",Yes,6.7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25,Machine Learning,Full Stack Developer,Degree,No,No,8.1,No,6,WFH,"React,node js , nest js , express js , jest,go etc",Yes,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19,MERN Stack,MERN Stack developer,Degree,No,No,9.7,No,7,Kochi,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
19,Web Development with Django,Flutter development,Degree,No,No,11.2,No,2,Bangalore,"Html,CSS",Yes,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
19,Flutter,Flutter development,Degree,No,Bca dropout ,7.0,Yes,7,Hyderabad,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
28,Machine Learning,Angular Developer,Degree,Yes,No,7.0,Yes,7,Hyderabad,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,3.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
26,Go,Full stack engineer,No Degree,Yes,No,14.3,No,7,Manjeri,"React,node js , nest js , express js , jest,go etc",Yes,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
23,Flutter,MERN Stack developer,No Degree,Yes,No,11.5,Yes,6,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,6.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20,Go,Full stack engineer,Degree,No,No,10.1,Yes,3,Bangalore,"Angular, Express, Node, javascript, MongoDB, Html, css",Yes,7.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
26,Go,Full stack engineer,Degree,Yes,No,9.7,Yes,6,Manjeri,"React js ,React query",Yes,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
23,MERN Stack,Software Developer,Degree,No,No,10.7,Yes,4,Bangalore,"React, Node, Nest, Next, HTML, CSS, MUI, Socket.io, MongoDB, Javascript, Bootstrap, Tailwind CSS, jQuery, Redux, Express JS, Mongoose, JWT, Git, Postman, Firebase, Vercel, Nginx",No,6.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
24,Web Development with Django,Python developer,Degree,No,No,10.5,Yes,3,WFH,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,6.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
23,Flutter,Full stack engineer,Diploma,No,No,7.0,Yes,7,Others,"React, Node, Html, CSS, SCSS, Next",Yes,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
20,Go,Machine Learning Engineer,Degree,No,Yes [ Non IT industry ],16.0,Yes,3,Nagercoil,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
19,MERN Stack,Flutter developer,Degree,No,Yes [ Non IT industry ],16.0,No,7,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,MERN Stack,Machine Learning Engineer,Degree,No,No,12.5,Yes,6,Kochi,"Html,Css, Javascript,Nodejs, React, Tailwind, Mongodb,Mysql",Yes,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
25,MERN Stack,Golang Developer,Degree,No,No,9.3,No,7,Ernakulam,"Python, Django, SQL, Git, AWS, Digital Ocean, HTML, CSS, React, Data Structure, Communication ",No,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
22,Go,Golang Developer,Degree,Yes,No,7.8,No,5,Chandigarh,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
25,Web Development with Django,MERN Stack developer,Degree,Yes,Yes [ Non IT industry ],14.3,No,5,Pune,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,6.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
23,Web Development with Django,Software Developer,Degree,No,No,7.9,Yes,1,Pune,"React,node js , nest js , express js , jest,go etc",No,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
22,Web Development with Django,Software Engineer,Degree,No,No,16.0,No,7,Kochi,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
24,MERN Stack,MERN Stack developer,Diploma,No,Yes [ Non IT industry ],13.0,Yes,7,Kochi,"Html, Css, Javascript, Node.Js,Mongo db, Redux, React. Js, React Neative",Yes,7.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
21,Flutter,Full Stack Developer,Diploma,No,No,8.5,Yes,1,Pune,"Html,CSS",Yes,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
24,Go,Golang Developer,Degree,No,Yes [ Non IT industry ],14.1,Yes,1,Bangalore,"Html,Css, Javascript,Nodejs, React, Tailwind, Mongodb,Mysql",Yes,4.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
25,MERN Stack,Nest js developer,No Degree,No,No,9.8,Yes,7,Chennai,"Flutter,iOS, react, django ",Yes,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
23,MERN Stack,MERN Stack developer,Diploma,No,No,11.2,Yes,0,Kochi,"Html,CSS",Yes,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,MERN Stack,Python + Angular Developer,Degree,Yes,Yes [ Non IT industry ],13.0,Yes,6,Manjeri,"Angular, Express, Node, javascript, MongoDB, Html, css",Yes,4.8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
22,MERN Stack,Full Stack Developer,Degree,No,No,10.6,Yes,7,Manjeri,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
26,MEAN Stack,React Developer,No Degree,Yes,No,16.0,Yes,7,Chandigarh,"Html,Css, Javascript,Nodejs, React, Tailwind, Mongodb,Mysql",Yes,5.8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
22,MEAN Stack,Machine Learning Engineer,No Degree,No,No,16.0,Yes,4,WFH,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
23,MERN Stack,Flutter developer,Degree,Yes,Yes [ Non IT industry ],12.9,No,4,Others,"Dart,Api integration,",Yes,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
24,MERN Stack,Flutter development,Degree,Yes,Yes [ Non IT industry ],13.8,No,1,Trivandrum,"MongoDB, Express, React, Node JS, JavaScript, HTML, CSS, Bootstrap, TypeScript, NextJ, Tailwind CSS, MUI, GraphQL, Hasura,refine,",Yes,2.4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
25,Flutter,MERN Stack developer,Degree,No,No,14.5,Yes,4,Bangalore,"Html, Css, Javascript, Node.Js,Mongo db, Redux, React. Js, React Neative",Yes,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
26,MERN Stack,MERN Stack developer,Degree,No,No,12.9,Yes,7,Chennai,"React, Node, Nest, Next, HTML, CSS, MUI, Socket.io, MongoDB, Javascript, Bootstrap, Tailwind CSS, jQuery, Redux, Express JS, Mongoose, JWT, Git, Postman, Firebase, Vercel, Nginx",Yes,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
30,MEAN Stack,Flutter development,No Degree,Yes,No,13.7,Yes,1,Kochi,"Html, Css, Javascript, Node.Js,Mongo db, Redux, React. Js, React Neative",Yes,6.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
20,Flutter,Jr Nodejs Developer,Degree,No,No,10.9,No,2,Calicut,"Html,CSS",No,5.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
25,MERN Stack,Full Stack Developer,No Degree,Yes,No,14.7,No,2,Hyderabad,"Flutter,iOS, react, django ",Yes,5.1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
27,MERN Stack,Full stack engineer,No Degree,No,No,9.8,Yes,7,Kochi,"Python, Django, Js, Html, Css",No,6.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27,MERN Stack,Full stack engineer,No Degree,Yes,No,13.1,No,5,Nagercoil,"Python, Django, SQL, Git, AWS, Digital Ocean, HTML, CSS, React, Data Structure, Communication ",Yes,4.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19,Web Development with Django,Angular Developer,No Degree,Yes,Yes [ Non IT industry ],7.0,Yes,5,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
23,Machine Learning,Machine Learning Engineer,Degree,No,Yes [ Non IT industry ],7.0,Yes,7,Ernakulam,HTML CSS React,Yes,5.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,MEAN Stack,MERN Stack developer,Degree,Yes,No,8.4,No,7,Others,"React, Node, Html, CSS, SCSS, Next",Yes,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
21,MERN Stack,MERN Stack developer,No Degree,Yes,No,12.6,Yes,7,Others,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
20,Flutter,Python + Angular Developer,Diploma,No,No,15.3,Yes,4,Ernakulam,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19,MERN Stack,MERN Stack developer,Degree,No,Yes [ Non IT industry ],16.0,No,7,WFH,"React js ,React query",Yes,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
24,Web Development with Django,Jr Nodejs Developer,Degree,No,No,12.9,No,2,Kochi,HTML CSS React,Yes,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
23,MERN Stack,Full Stack Developer,Degree,No,No,8.8,Yes,0,Hyderabad,"Html,CSS",Yes,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
19,Web Development with Django,Python developer,Degree,Yes,No,12.0,Yes,7,Hyderabad,"Dart,Api integration,",Yes,4.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
23,MERN Stack,Full Stack Developer,No Degree,No,No,16.0,Yes,7,Bangalore,"Python, Django, SQL, Git, AWS, Digital Ocean, HTML, CSS, React, Data Structure, Communication ",Yes,7.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25,MERN Stack,MERN Stack developer,Degree,Yes,No,9.0,No,7,Nagercoil,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,7.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
20,MEAN Stack,Software Developer,Degree,Yes,Yes [ Non IT industry ],8.6,No,6,Chandigarh,"React, Node, Html, CSS, Mongodb",Yes,3.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31,Web Development with Django,Golang Developer,Degree,Yes,No,10.6,No,5,Nagercoil,"React,node js , nest js , express js , jest,go etc",Yes,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
25,MERN Stack,React Developer,No Degree,Yes,No,14.4,No,7,Trivandrum,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,7.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
20,MERN Stack,Golang Developer,Degree,No,No,16.0,Yes,7,Pune,"Angular, Express, Node, javascript, MongoDB, Html, css",Yes,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
21,MERN Stack,Angular Developer,No Degree,No,No,7.0,Yes,7,Hyderabad,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,5.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
19,MEAN Stack,Full Stack Developer,No Degree,No,No,11.0,No,4,Chennai,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
22,Flutter,Jr Nodejs Developer,Degree,No,No,11.4,Yes,3,Trivandrum,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,6.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
