domain,designation,age,degree,cs_bg,experience,avg_time,holidays,week_back,city,graduated,flutter,angular,python,express,firebase,aws,sql,javascript,jwt,node,html,ajax,hasura,communication,git,jest,mysql,react,graphql,mongodb,cnn,postman,nginx,dart,vim,django,mui,typescript,opencv,jquery,next,linux,sas,vercel,redux,api,bootstrap,mongoose,tailwind,docker,salary
mobile development using flutter,mobile app developer,22.0,No Degree,Yes,No,9.0,Yes,4.0,wfh,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
web development using python django,software developer,23.0,No Degree,No,No,10.0,Yes,7.0,wfh,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.4
mern stack,junior software engineer,22.0,Degree,Yes,No,12.0,Yes,4.0,hyderabad,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.52
web development using python django,software developer,22.0,Degree,Yes,No,9.0,No,4.0,wfh,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.5
web development using python django,software developer,24.0,No Degree,No,No,11.0,No,0.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.6
web development using python django,python developer,22.0,No Degree,No,No,9.0,Yes,7.0,wfh,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.64
mern stack,software developer,26.0,Degree,No,Yes [ Non IT industry ],13.0,Yes,0.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.2
web development using node.js express,node js developer,24.0,No Degree,No,Yes [ Non IT industry ],12.0,No,0.0,manjeri,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.84
mobile development using flutter,flutter developer,21.0,No Degree,Yes,No,9.0,Yes,7.0,calicut,Yes,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.5
web development using python django,python developer,22.0,Degree,No,No,10.0,No,0.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
web development using python django,junior software engineer,22.0,Degree,No,No,10.0,No,2.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.2
web development using python django,developer,22.0,Degree,Yes,No,10.0,Yes,4.0,wfh,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2
web development using node.js express,poduct engineer,23.0,Degree,No,No,11.0,Yes,4.0,wfh,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.2
web development using node.js express,node js developer,22.0,No Degree,No,No,10.0,Yes,7.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.2
web development using node.js express,associate engineer,22.0,No Degree,No,No,14.0,Yes,2.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.4
mobile development using flutter,flutter developer,23.0,Degree,No,No,13.0,Yes,0.0,bangalore,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2
mern stack,software developer,23.0,No Degree,Yes,No,8.0,Yes,7.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.0
web development using python django,technical team,22.0,Degree,Yes,No,10.0,No,1.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.5
web development using python django,backend developer,22.0,No Degree,No,No,10.0,No,0.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0
web development using python django,intern cto,22.0,No Degree,No,No,10.0,No,7.0,manjeri,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.6
mern stack,developer,22.0,No Degree,No,No,10.0,No,2.0,bangalore,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.5
mern stack,developer,22.0,Degree,Yes,No,10.0,Yes,1.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.2
mern stack,mern stack developer,22.0,No Degree,No,No,10.0,No,0.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6
web development using node.js express,junior software engineer,22.0,No Degree,No,No,9.0,No,1.0,bangalore,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.6
web development using python django,developer,22.0,Degree,Yes,No,12.0,Yes,2.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.2
web development using node.js express,junior software engineer,22.0,Degree,No,No,12.0,Yes,1.0,wfh,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6
web development using python django,full stack developer,22.0,Degree,No,No,10.0,Yes,1.0,wfh,Yes,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
mobile development using flutter,flutter developer,22.0,No Degree,Yes,No,10.0,Yes,7.0,manjeri,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.8
mobile development using flutter,junior flutter developer,22.0,Degree,Yes,No,10.0,Yes,1.0,wfh,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0
mern stack,developer,22.0,No Degree,No,No,9.0,No,1.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.0
mobile development using flutter,flutter developer,22.0,Degree,Yes,No,9.0,No,4.0,wfh,Yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6.0
mern stack,node js developer,22.0,No Degree,No,No,10.0,No,1.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.7
mern stack,nodejs developer,23.0,No Degree,No,No,11.0,No,1.0,bangalore,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6
mobile development using flutter,flutter developer,22.0,Degree,Yes,No,10.0,No,4.0,wfh,Yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6.36
mobile development using swift,ios developer,22.0,No Degree,Yes,No,8.0,Yes,7.0,manjeri,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.8
mobile development using flutter,flutter developer,23.0,Degree,No,No,10.0,No,2.0,wfh,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.2
mobile development using flutter,flutter developer,22.0,No Degree,Yes,No,8.0,Yes,4.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.2
mern stack,software developer,23.0,Degree,No,No,9.0,Yes,5.0,calicut,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6
web development using python django,python developer,22.0,Degree,No,No,12.0,Yes,2.0,wfh,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.5
mern stack,mern stack developer,23.0,Degree,Yes,No,10.0,Yes,7.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.36
mobile development using android kotlin,software developer,22.0,No Degree,Yes,No,8.0,Yes,7.0,manjeri,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.65
mern stack,mern stack developer,22.0,Degree,Yes,No,10.0,No,2.0,chennai,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.8
mern stack,mern stack developer,23.0,Degree,Yes,No,9.0,No,1.0,trivandrum,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
mern stack,mern stack developer,22.0,Degree,Yes,No,13.0,Yes,4.0,calicut,Yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
web development using python django,junior software engineer,23.0,Degree,Yes,No,12.0,No,0.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.96
web development using python django,assosiate software engineer,23.0,No Degree,No,No,13.0,Yes,1.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.6
mobile development using android kotlin,software developer engineer,22.0,No Degree,Yes,No,13.0,Yes,7.0,manjeri,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0
mobile development using swift,ios developer,21.0,Degree,No,No,16.0,Yes,0.0,wfh,Yes,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6
mern stack,executive research informatics,23.0,Degree,No,No,15.0,Yes,1.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0
mern stack,fullstack developer,22.0,No Degree,Yes,No,10.0,Yes,7.0,manjeri,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.8
mern stack,web gl developer,23.0,No Degree,No,Yes [ Non IT industry ],15.0,Yes,0.0,bangalore,Yes,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,3.6
mern stack,junior software engineer,21.0,Degree,No,No,12.0,No,2.0,others,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.8
mern stack,junior software engineer,19.0,No Degree,No,No,16.0,Yes,2.0,nagercoil,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.0
web development using python django,software development engineer i,22.0,Degree,No,No,10.0,Yes,7.0,bangalore,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1
mern stack,independent consultant,22.0,Degree,No,No,10.0,No,4.0,wfh,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.0
mern stack,software engineer,21.0,Degree,Yes,No,14.0,Yes,7.0,chennai,Yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5.3
mern stack,software engineer,19.0,No Degree,Yes,No,12.0,Yes,4.0,chennai,Yes,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
mern stack,full stack developer,26.0,Degree,No,Yes [ Non IT industry ],14.0,Yes,1.0,calicut,Yes,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
web development using python django,data engineer,21.0,Degree,Yes,No,12.0,No,4.0,manjeri,Yes,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
web development using python django,data engineer,23.0,No Degree,Yes,No,9.0,No,0.0,wfh,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.0
mern stack,frontend developer,21.0,No Degree,No,No,12.0,No,1.0,bangalore,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.5
mobile development using flutter,flutter developer,22.0,No Degree,Yes,No,10.0,Yes,7.0,bangalore,Yes,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.8
mern stack,trainee software engineer,22.0,No Degree,Yes,No,9.0,Yes,4.0,bangalore,Yes,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
mern stack,software engineer,21.0,Degree,Yes,No,12.0,No,4.0,chennai,Yes,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.0
mern stack,software developer,22.0,No Degree,Yes,No,11.0,No,1.0,bangalore,No,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0
web development using python django + react,fullstack developer,22.0,No Degree,No,No,13.0,Yes,3.0,manjeri,Yes,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.5
